FormPage,FormReferenceNumber,XPath
1,e-7,/VALUATION_RESPONSE/VALUATION_METHODS/SALES_COMPARISON/COMPARABLE_SALE[@PropertySequenceIdentifier='0']/COMPARISON_VIEW_DETAIL_EXTENSION/COMPARISON_VIEW_DETAIL_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/COMPARISON_VIEW_DETAIL_EXTENSION_SECTION_DATA/COMPARISON_VIEW_DETAIL[@GSEViewType='Other']/@GSEViewTypeOtherDescription
1,89,/VALUATION_RESPONSE/PROPERTY/SITE/@_ZoningClassificationIdentifier
1,90,/VALUATION_RESPONSE/PROPERTY/SITE/@_ZoningClassificationDescription
1,91,/VALUATION_RESPONSE/PROPERTY/SITE[@_ZoningComplianceType='Legal']
1,92,/VALUATION_RESPONSE/PROPERTY/SITE[@_ZoningComplianceType='Nonconforming']
1,93,/VALUATION_RESPONSE/PROPERTY/SITE[@_ZoningComplianceType='NoZoning']
1,94,/VALUATION_RESPONSE/PROPERTY/SITE[@_ZoningComplianceType='Illegal']
1,95,/VALUATION_RESPONSE/PROPERTY/SITE/@_ZoningComplianceDescription
1,96,/VALUATION_RESPONSE/PROPERTY/SITE[@HighestBestUseIndicator='Y']
1,97,/VALUATION_RESPONSE/PROPERTY/SITE[@HighestBestUseIndicator='N']
1,98,/VALUATION_RESPONSE/PROPERTY/SITE/@HighestBestUseDescription
1,99,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Electricity']/@_PublicIndicator
1,100,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Electricity']/@_NonPublicIndicator
1,101,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Electricity']/@_NonPublicDescription
1,102,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Gas']/@_PublicIndicator
1,103,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Gas']/@_NonPublicIndicator
1,104,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Gas']/@_NonPublicDescription
1,105,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Water']/@_PublicIndicator
1,106,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Water']/@_NonPublicIndicator
1,107,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='Water']/@_NonPublicDescription
1,108,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='SanitarySewer']/@_PublicIndicator
1,109,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='SanitarySewer']/@_NonPublicIndicator
1,110,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_UTILITY[@_Type='SanitarySewer']/@_NonPublicDescription
1,111,/VALUATION_RESPONSE/PROPERTY/_OFF_SITE_IMPROVEMENT[@_Type='Street']/@_Description
1,112,/VALUATION_RESPONSE/PROPERTY/_OFF_SITE_IMPROVEMENT[@_Type='Street' and @_OwnershipType='Public']/@_ExistsIndicator
1,113,/VALUATION_RESPONSE/PROPERTY/_OFF_SITE_IMPROVEMENT[@_Type='Street' and @_OwnershipType='Private']/@_ExistsIndicator
1,114,/VALUATION_RESPONSE/PROPERTY/_OFF_SITE_IMPROVEMENT[@_Type='Alley']/@_Description
1,115,/VALUATION_RESPONSE/PROPERTY/_OFF_SITE_IMPROVEMENT[@_Type='Alley' and @_OwnershipType='Public']/@_ExistsIndicator
1,116,/VALUATION_RESPONSE/PROPERTY/_OFF_SITE_IMPROVEMENT[@_Type='Alley' and @_OwnershipType='Private']/@_ExistsIndicator
1,117,/VALUATION_RESPONSE/PROPERTY/SITE/FLOOD_ZONE/FLOOD_ZONE_EXTENSION/FLOOD_ZONE_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/FLOOD_ZONE_EXTENSION_SECTION_DATA/FLOOD_ZONE_INFORMATION[@GSEFEMASpecialFloodHazardAreaIndicator='Y']
