FormPage,FormReferenceNumber,XPath
0,60,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='AbsorptionRate' and @_MonthRangeType='Last3Months']/@_Count
0,61,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='TotalListings' and @_MonthRangeType='Prior7To12Months']/@_Count
0,62,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='TotalListings' and @_MonthRangeType='Prior4To6Months']/@_Count
0,63,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='TotalListings' and @_MonthRangeType='Last3Months']/@_Count
0,64,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='Supply' and @_MonthRangeType='Prior7To12Months']/@_Count
0,65,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='Supply' and @_MonthRangeType='Prior4To6Months']/@_Count
0,66,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='Supply' and @_MonthRangeType='Last3Months']/@_Count
0,67,/VALUATION_RESPONSE/REPORT/EMBEDDED_FILE/@_Name
0,68,/VALUATION_RESPONSE/REPORT/EMBEDDED_FILE/@_EncodingType
0,69,/VALUATION_RESPONSE/REPORT/EMBEDDED_FILE/@MIMEType
0,70,/VALUATION_RESPONSE/REPORT/EMBEDDED_FILE/@_Type
0,71,/VALUATION_RESPONSE/@MISMOVersionID
na,na,/VALUATION_RESPONSE/REPORT/EMBEDDED_FILE/DOCUMENT/
1,4a,/VALUATION_RESPONSE/REPORT/@AppraiserAdditionalFileIdentifier
1,6,/VALUATION_RESPONSE/PROPERTY/@_StreetAddress
1,7,/VALUATION_RESPONSE/PROPERTY/@_City
1,8,/VALUATION_RESPONSE/PROPERTY/@_State
1,9,/VALUATION_RESPONSE/PROPERTY/@_PostalCode
1,10,/VALUATION_RESPONSE/PARTIES/BORROWER/@_UnparsedName
1,10,/VALUATION_RESPONSE/PARTIES/BORROWER/BORROWER_EXTENSION/BORROWER_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORM APPRAISAL DATASET']/BORROWER_EXTENSION_SECTION_DATA/BORROWER_NAME/@GSEBorrowerName
1,11,/VALUATION_RESPONSE/PROPERTY/_OWNER/@_Name
1,11,/VALUATION_RESPONSE/PROPERTY/_OWNER/PROPERTY_OWNER_EXTENSION/PROPERTY_OWNER_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORM APPRAISAL DATASET']/PROPERTY_OWNER_EXTENSION_SECTION_DATA/PROPERTY_OWNER/@GSEPropertyOwnerName
1,12,/VALUATION_RESPONSE/PROPERTY/@_County
1,13,/VALUATION_RESPONSE/PROPERTY/_LEGAL_DESCRIPTION[@_Type='Other' and @_TypeOtherDescription='LongLegal']/@_TextDescription
1,14,/VALUATION_RESPONSE/PROPERTY/_IDENTIFICATION/PROPERTY_IDENTIFICATION_EXTENSION/PROPERTY_IDENTIFICATION_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORM APPRAISAL DATASET']/PROPERTY_IDENTIFICATION_EXTENSION_SECTION_DATA/PARCEL_IDENTIFIER/@GSEAssessorsParcelIdentifier
1,14,/VALUATION_RESPONSE/PROPERTY/_IDENTIFICATION/@AssessorsParcelIdentifier
1,15,/VALUATION_RESPONSE/PROPERTY/_TAX/@_YearIdentifier
1,16,/VALUATION_RESPONSE/PROPERTY/_TAX/@_TotalTaxAmount
1,16,/VALUATION_RESPONSE/PROPERTY/_TAX/PROPERTY_TAX_EXTENSION/PROPERTY_TAX_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORM APPRAISAL DATASET']/PROPERTY_TAX_EXTENSION_SECTION_DATA/PROPERTY_TAX_AMOUNT/@GSEPropertyTaxTotalTaxAmount
1,17,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_Name
1,18,/VALUATION_RESPONSE/PROPERTY/_IDENTIFICATION/@MapReferenceIdentifier
1,19,/VALUATION_RESPONSE/PROPERTY/_IDENTIFICATION/@CensusTractIdentifier
1,20,"/VALUATION_RESPONSE/PROPERTY/@_CurrentOccupancyType,OwnerOccupied"
1,21,"/VALUATION_RESPONSE/PROPERTY/@_CurrentOccupancyType,TenantOccupied"
1,22,"/VALUATION_RESPONSE/PROPERTY/@_CurrentOccupancyType,Vacant"
1,23,/VALUATION_RESPONSE/PROPERTY/_TAX/@_TotalSpecialTaxAmount
1,24,"/VALUATION_RESPONSE/PROPERTY/PROPERTY_EXTENSION/PROPERTY_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORM APPRAISAL DATASET']/PROPERTY_EXTENSION_SECTION_DATA/PROPERTY_TYPE/@GSE_PUDIndicator,Y|N"
1,25,/VALUATION_RESPONSE/PROPERTY/PROJECT/_PER_UNIT_FEE/@_Amount
1,26,"/VALUATION_RESPONSE/PROPERTY/PROJECT/_PER_UNIT_FEE/@_PeriodType,Annually"
1,27,"/VALUATION_RESPONSE/PROPERTY/PROJECT/_PER_UNIT_FEE/@_PeriodType,Monthly"
1,28,"/VALUATION_RESPONSE/PROPERTY/@_RightsType,FeeSimple"
1,29,"/VALUATION_RESPONSE/PROPERTY/@_RightsType,Leasehold"
1,30,"/VALUATION_RESPONSE/PROPERTY/@_RightsType,Other"
1,31,/VALUATION_RESPONSE/PROPERTY/@_RightsTypeOtherDescription
1,32,"/VALUATION_RESPONSE/REPORT/@AppraisalPurposeType,Purchase"
1,33,"/VALUATION_RESPONSE/REPORT/@AppraisalPurposeType,Refinance"
1,34,"/VALUATION_RESPONSE/REPORT/@AppraisalPurposeType,Other"
